Gene	GEO_Tau	GEO_FC	GTEx_Tau	GTEx_FC	TCGA_Tau	TCGA_FC
ENSG00000172667	9.520167178477493	1.0075762773188046	14.747783124602652	1.069530032067399	11.588607737401603	1.0062330255444902
ENSG00000165061	17.02871712383839	1.0321806576693575	24.553585328311275	1.0550843816117226	18.31161818651629	1.3513542852411233
ENSG00000100319	15.474742256657763	1.261888203658139	17.68879623040012	1.073900089497896	9.689303178021124	1.0349726669038102
ENSG00000108175	8.45524989956219	1.037449068217554	12.709802044949438	1.030669395974466	8.179233556833827	1.0245665716857553
ENSG00000122515	12.35329344562141	1.003485322320932	10.418651156349856	1.0275677138694603	5.238015550359033	1.0145515045451463
ENSG00000084073	10.845331667349443	1.0326038819378949	10.969705212267353	1.0327974935631952	8.35814342338018	1.0269519189953702
ENSG00000197056	9.820990515053072	1.0033828742603643	8.617119107459356	1.0258658301963615	7.887819218068663	1.0129740767156679
ENSG00000121741	10.753074992848994	1.0442824022276656	12.538276869342589	1.1068668076832158	7.662933333282996	1.0253413589598952
ENSG00000147130	12.920533792156995	1.113085598837469	15.773852617469226	1.036349297744148	9.276930816173238	1.0077021548809002
ENSG00000146463	10.164750364766054	1.0159995713586785	8.713452210070365	1.0379047210296377	7.689584371326567	1.0526335911598517
ENSG00000132950	11.204208239622536	1.050995284299031	7.451525529378016	1.035227059072075	9.001631878362902	1.0762597996097334
ENSG00000163867	9.07506186264003	1.0464026065081773	8.869783040362433	1.07267100978287	5.667719522535477	1.02502746718955
ENSG00000004838	20.233335820535725	1.4535886610455666	25.77532794502753	2.4252870830331092	17.00607894861245	1.248067086774124
ENSG00000015171	10.125760558327466	1.0034935049905422	10.689275157308836	1.000513431455443	10.368868144153558	1.027546407283754
ENSG00000066185	18.84388326228666	1.5492973226065667	23.98319953618746	1.6876931315568613	13.355649877522511	1.178996029681047
ENSG00000141497	16.816804172903662	1.221686001766048	23.888868532128075	1.5989925410963708	12.148797101960739	1.1892030350066496
ENSG00000165724	11.44269623779295	1.0034737524729938	15.816963945393768	1.1173271033120655	10.652304099650914	1.074489313267246
ENSG00000101040	9.641699996801906	1.078650198540021	15.351362667563729	1.0897298769298567	6.64832036950535	1.0050874679489576
ENSG00000256223	17.70558039897116	1.2872676873431792	21.311878947796924	1.286791776312061	12.702755499863914	1.0834265882826657
ENSG00000197020	11.802841403942006	1.1404956288477037	13.550429218682511	1.1313526467260522	12.451014412708636	1.1816324490732164
ENSG00000181896	14.920239895666336	1.0781360223651928	19.606895190783533	1.0719481356688925	15.227531077917606	1.1201764005526753
ENSG00000103994	17.707556193840023	1.2678818667823597	24.632610874924943	1.234594741123195	16.09740585497591	1.3103612931125306
ENSG00000196247	17.369025007760214	1.4534794033597722	17.405720200403657	1.0691520013981979	13.190274752341368	1.1357104449148003
ENSG00000062370	12.800431429347032	1.0267415974815988	12.278990784661397	1.0706058657519704	9.083146256033999	1.0271072367557774
ENSG00000178150	14.72012835854504	1.3637742039902538	23.430393531321286	1.6865490721786813	15.514264544930024	1.1578596762347708
ENSG00000152926	19.019334029372143	1.285119933946178	19.815775046305834	1.117438621183072	10.3390039394175	1.061138610857803
ENSG00000164631	7.488506988730723	1.0380064997520608	5.871510335392498	1.0048963829484052	4.325212786431655	1.0068060434046455
ENSG00000197961	12.643075335255094	1.0580154283256058	8.83789305899157	1.0025428695055523	9.244089939695478	1.0126016988885076
ENSG00000196418	10.838956384212784	1.019676571362912	14.650800294949972	1.03667741489446	10.957632822357622	1.0158288265296889
ENSG00000172262	12.389357532402105	1.0926064693088695	10.20654543771393	1.0400425347946403	8.308069201330149	1.0630547609414565
ENSG00000131849	15.346870708572546	1.170396357029655	15.742649999288162	1.1306200893655443	11.513595064888424	1.0864209684606714
ENSG00000125846	11.950546891704684	1.1085229201954514	10.643280885600594	1.0572234989681935	7.401219313348565	1.0240519144213138
ENSG00000213762	8.904304590989563	1.0082887689258468	8.965759309361738	1.0436312166153991	12.7170943717611	1.2149435300140552
ENSG00000176293	13.555793870533716	1.073323870317513	17.36851792780259	1.0456697144215212	11.759603013910205	1.0727250650597215
