Gene	FC
ENSG00000120437	3.3272296032034734
ENSG00000182827	3.153930257613136
ENSG00000181513	4.213370925778569
ENSG00000107897	2.399343894131181
ENSG00000230124	2.080026689074492
ENSG00000176244	4.280384577691869
ENSG00000110455	2.7900011411347223
ENSG00000205126	4.028821216739423
ENSG00000102977	2.6796093537033303
ENSG00000159640	3.0368570749595993
ENSG00000130234	5.759011002605927
ENSG00000167769	17.10040981214193
ENSG00000177076	3.474929647077247
ENSG00000078124	2.4002169001628046
ENSG00000087085	2.768101540757087
ENSG00000100813	1.5214649999473897
ENSG00000213088	3.7030810480999232
ENSG00000144648	3.535906220554602
ENSG00000144476	3.0610128047622935
ENSG00000129048	5.116715911745774
ENSG00000131473	2.1596564018496953
ENSG00000153086	19.07592085223136
ENSG00000122729	4.685712915619156
ENSG00000100412	3.4649631012187845
ENSG00000102794	17.318767675685365
ENSG00000184227	4.5072112354805105
ENSG00000162390	3.748120072461202
ENSG00000172497	21.002319528462404
ENSG00000112304	2.9759661241652537
ENSG00000119673	3.8551811653549906
ENSG00000177465	5.913381573053308
ENSG00000205669	4.916784605637767
ENSG00000097021	5.58746023788459
ENSG00000101473	2.104224095273219
ENSG00000123130	1.576505290100663
ENSG00000161533	3.7718338177829964
ENSG00000168306	10.115961292661982
ENSG00000087008	1.9283083639836263
ENSG00000153093	2.9521327255564818
ENSG00000143727	1.8076561393114368
ENSG00000134575	3.9764612361232654
ENSG00000014257	20.196970825375203
ENSG00000142513	3.4345075905789253
ENSG00000102575	4.129176104768915
ENSG00000162836	1.8890375430048958
ENSG00000183760	11.437834563557079
ENSG00000100312	16.87087992140861
ENSG00000111644	12.232063842938343
ENSG00000134940	13.966154089143036
ENSG00000103740	9.434443267240589
ENSG00000130377	20.076799328805382
ENSG00000167107	2.971784551038515
ENSG00000176715	2.8349325221915715
ENSG00000151726	8.523281452942625
ENSG00000123983	2.180603817919296
ENSG00000068366	2.102413485136179
ENSG00000197142	4.892457491455442
ENSG00000164398	6.1512561444964575
ENSG00000166743	4.673288884151256
ENSG00000183747	19.39164810803565
ENSG00000066813	19.678278535470426
ENSG00000005187	5.745032192432778
ENSG00000215009	8.167944556634877
ENSG00000183549	13.45537736357232
ENSG00000173124	3.5869868479831677
ENSG00000154930	2.6812672386431533
ENSG00000131069	3.790315471074406
ENSG00000111058	6.059405459086543
ENSG00000143632	11.167087926795746
ENSG00000107796	9.478121745311794
ENSG00000075624	2.6465770099450876
ENSG00000169067	13.481927272415724
ENSG00000159251	19.35991129427827
ENSG00000184009	1.7394328207288126
ENSG00000163017	10.9692662964386
ENSG00000136518	1.7269669011560305
ENSG00000077080	11.767782984314398
ENSG00000187003	21.46955823367952
ENSG00000148156	21.627294422391998
ENSG00000117148	4.733141168559195
ENSG00000181786	21.58401561726285
ENSG00000072110	2.0754468444429306
ENSG00000077522	19.33465627859518
ENSG00000248746	10.483013975382594
ENSG00000130402	2.5948680603309753
ENSG00000131966	1.3959329008270354
ENSG00000138107	1.6819770564382752
ENSG00000115073	1.783893433841304
ENSG00000138071	1.839380859403433
ENSG00000115091	1.921409859081823
ENSG00000133627	3.1499962910588004
ENSG00000106526	6.060597156481325
ENSG00000101442	2.7031376649908734
ENSG00000075089	1.6645528727842853
ENSG00000113812	1.4943943383902356
ENSG00000123165	15.544449407377655
ENSG00000169717	21.738164003355056
ENSG00000184378	5.532630607104512
ENSG00000115170	2.5183305728959726
ENSG00000135503	2.0292839265772225
ENSG00000123612	11.691096108011772
ENSG00000121989	6.288111197621935
ENSG00000114739	2.7901494437577736
ENSG00000139567	3.197280038640969
ENSG00000243989	7.2754310270849425
ENSG00000132744	6.609232790412106
ENSG00000119640	1.8161638429738378
ENSG00000170634	6.995012709169444
ENSG00000196839	14.006711381078635
ENSG00000093072	6.188024459871864
ENSG00000164113	20.188733017953382
ENSG00000140955	12.299853777499665
ENSG00000168803	2.357126307288612
ENSG00000137845	1.5362197191019484
