Gene	CV	Exp_Sum
ENSG00000005073	4.72217796791579	33575.0289
ENSG00000005075	1.11685380235225	1111660.7282
ENSG00000005100	2.44923464641389	91956.1966
ENSG00000005102	3.36211536348684	36105.065
ENSG00000005108	2.45805699910609	14753.1213
ENSG00000005156	0.956872403076055	87441.5129
ENSG00000005175	0.882612802196206	150395.0513
ENSG00000005187	2.14804703551005	190051.0972
ENSG00000005189	3.86456511855009	44308.2427
ENSG00000005194	1.79292181846952	595195.512
ENSG00000005206	1.36112595645544	268773.6887
ENSG00000005238	1.47041750898563	205650.608
ENSG00000005243	1.83417228511824	273328.9535
ENSG00000005249	2.61832610305329	384405.9685
ENSG00000005302	1.01048940039142	241245.8902
ENSG00000005339	1.82919009833708	293480.0044
ENSG00000005379	1.4753336338893	82678.3538
ENSG00000005381	12.359081013289	98036.0088
ENSG00000005421	2.56892497291499	996601.5238
ENSG00000005436	0.740376395612326	103172.6816
ENSG00000005448	1.97353689583457	188308.0313
ENSG00000005469	1.2107314406253	129539.6383
ENSG00000005471	2.56952610799396	273112.5042
ENSG00000005483	1.22245813548972	407583.6628
ENSG00000005486	1.32700706013457	862004.9708
ENSG00000005513	5.16044547103044	17219.182
ENSG00000005700	1.02251776232934	266975.2475
ENSG00000005801	0.74129582899549	52348.5121
ENSG00000005810	0.931216146170379	182423.0947
ENSG00000005812	0.823061490960477	364728.3379
ENSG00000005844	1.80900334992753	692573.9463
ENSG00000005882	1.03670322596114	235518.2979
ENSG00000005884	4.00312134106483	396848.5228
ENSG00000005889	0.733195970669736	132605.5573
ENSG00000005893	0.950583641411595	788764.8618
ENSG00000005961	4.61482379996599	294403.5143
ENSG00000005981	6.00608732982926	12577.0437
ENSG00000006007	0.721306976274292	571601.6796
ENSG00000006015	1.16174456447792	330303.8337
ENSG00000006016	5.58388502292231	70757.4866
ENSG00000006025	1.16708035462176	86181.3412
ENSG00000006042	2.31519060561589	122367.7846
ENSG00000006047	6.48087395853659	13063.6162
ENSG00000006059	48.5096651571398	4512.2904
ENSG00000006062	1.57784199859845	178539.7672
ENSG00000006071	6.70066869176307	19686.3239
ENSG00000006116	8.28571363556616	13682.5905
ENSG00000006118	2.87036646019384	127332.1998
ENSG00000006125	0.798363523215741	638482.4874
ENSG00000006128	12.3418506476585	17447.0244
ENSG00000006194	0.700842140476847	211127.9515
ENSG00000006210	2.89332759006265	55732.4135
ENSG00000006282	1.02151278361183	211912.0967
ENSG00000006283	4.79205334772746	7978.1306
ENSG00000006327	2.21533647429397	471603.7453
ENSG00000006377	3.59359999559193	13300.9886
ENSG00000006432	1.64683971827468	26305.702
ENSG00000006451	1.01370390734379	339711.6274
ENSG00000006453	1.83639493870341	143166.2557
ENSG00000006459	1.27699316461886	159831.3917
ENSG00000006468	2.74746770687663	42095.227
ENSG00000006530	0.987617873386927	221608.8638
