Gene	CV	Exp_Sum
ENSG00000007314	4.14965416986432	70912.4387
ENSG00000007341	0.364191906719094	117809.9178
ENSG00000007350	4.773371224846	74436.741
ENSG00000007372	3.33878804407788	15697.5285
ENSG00000007376	0.623206572742765	379729.7039
ENSG00000007384	0.91882777351234	549541.1595
ENSG00000007392	0.500056082285263	777139.6722
ENSG00000007402	1.9823956130697	107395.5789
ENSG00000007516	4.4706283185124	317704.7118
ENSG00000007520	0.529412918565131	1262913.2693
ENSG00000007541	0.541426114778569	321281.0926
ENSG00000007545	0.465501184247187	177481.7182
ENSG00000007866	1.02115011517412	628859.1922
ENSG00000007908	4.92463832849008	113631.1316
ENSG00000007923	0.507925843083364	366997.775
ENSG00000007933	5.46353412320149	188950.2916
ENSG00000007944	0.83708865304295	784949.9561
ENSG00000007952	4.34038172692845	34802.9576
ENSG00000007968	2.5634128349839	140636.6818
ENSG00000008018	0.434015604159413	2458094.4105
ENSG00000008056	2.65095730268077	181669.5019
ENSG00000008083	0.980715725427547	442396.1669
ENSG00000008086	1.07088285480095	71795.9497
ENSG00000008118	2.69816299769214	55093.4124
ENSG00000008128	0.868415856685919	100255.0449
ENSG00000008130	1.56412122861957	903844.432
ENSG00000008196	3.01546105856277	39272.1191
ENSG00000008197	7.97342614788775	946.313
ENSG00000008226	2.45826791087514	43568.0919
ENSG00000008256	0.634088308755466	425818.6586
ENSG00000008277	2.24676012125476	76376.4765
ENSG00000008282	0.559806709686458	2098395.6794
ENSG00000008283	1.22480700630198	697387.2905
ENSG00000008294	0.632204811957714	790293.6599
ENSG00000008300	2.07333421632105	64864.7815
ENSG00000008311	1.27298354510039	343208.4164
ENSG00000008323	2.00797066749915	116913.1011
ENSG00000008324	0.511924849793331	638469.4137
ENSG00000008382	0.622789440705693	306273.8091
ENSG00000008394	1.86395081765587	747723.909
ENSG00000008405	0.611678918853008	311252.8048
ENSG00000008438	5.79302550669441	1183620.3338
ENSG00000008441	1.01698084928423	1112317.0955
ENSG00000008513	1.10996329012327	583531.6865
ENSG00000008516	7.59078812913101	1249860.888
ENSG00000008517	2.03642127385819	1234750.336
ENSG00000008710	2.01990712127109	547719.975
ENSG00000008735	2.31274640514391	317456.1447
