PADI2_1	ENSG00000117115
PADI1_1	ENSG00000142623
PADI3_1	ENSG00000142619
PADI4_1	ENSG00000159339
RCC2_1	ENSG00000179051
RCC2_2	ENSG00000179051
RCC2_3	ENSG00000179051
ARHGEF10L_5	ENSG00000074964
ARHGEF10L_3	ENSG00000074964
ARHGEF10L_1	ENSG00000074964
ARHGEF10L_4	ENSG00000074964
ARHGEF10L_2	ENSG00000074964
ACTL8_1	ENSG00000117148
IGSF21_1	ENSG00000117154
PAX7_2	ENSG00000009709
PAX7_1	ENSG00000009709
ALDH4A1_1	ENSG00000159423
ALDH4A1_2	ENSG00000159423
UBR4_1	ENSG00000127481
MRTO4_1	ENSG00000053372
EMC1_1	ENSG00000127463
MRTO4_3	ENSG00000053372
MRTO4_2	ENSG00000053372
AKR7A3_1	ENSG00000162482
AKR7A2_1	ENSG00000053371
PQLC2_1	ENSG00000040487
CAPZB_2	ENSG00000077549
MINOS1_2	ENSG00000173436
CAPZB_1	ENSG00000077549
MINOS1_1	ENSG00000173436
NBL1_3	ENSG00000158747
NBL1_2	ENSG00000158747
NBL1_1	ENSG00000158747
TMCO4_1	ENSG00000162542
TMCO4_2	ENSG00000162542
TMCO4_3	ENSG00000162542
OTUD3_1	ENSG00000169914
OTUD3_2	ENSG00000169914
PLA2G2A_1	ENSG00000188257
PLA2G2A_2	ENSG00000188257
PLA2G5_1	ENSG00000127472
PLA2G2D_2	ENSG00000117215
PLA2G2F_1	ENSG00000158786
UBXN10_2	ENSG00000162543
UBXN10_1	ENSG00000162543
PLA2G2D_1	ENSG00000117215
CAMK2N1_2	ENSG00000162545
CAMK2N1_1	ENSG00000162545
MUL1_1	ENSG00000090432
CDA_2	ENSG00000158825
CDA_1	ENSG00000158825
PINK1_1	ENSG00000158828
DDOST_1	ENSG00000244038
KIF17_2	ENSG00000117245
KIF17_3	ENSG00000117245
HP1BP3_2	ENSG00000127483
HP1BP3_1	ENSG00000127483
EIF4G3_2	ENSG00000075151
EIF4G3_1	ENSG00000075151
ECE1_4	ENSG00000117298
ECE1_3	ENSG00000117298
ECE1_1	ENSG00000117298
NBPF3_2	ENSG00000142794
NBPF3_1	ENSG00000142794
ALPL_2	ENSG00000162551
ALPL_1	ENSG00000162551
ALPL_3	ENSG00000162551
RAP1GAP_3	ENSG00000076864
RAP1GAP_2	ENSG00000076864
RAP1GAP_1	ENSG00000076864
USP48_1	ENSG00000090686
USP48_2	ENSG00000090686
HSPG2_1	ENSG00000142798
CELA3B_1	ENSG00000219073
