Gene	TS	CV	Con
ENSG00000198001	-0.145818078074668	2.67970438459829	-0.228853963287363
ENSG00000198003	0.273734240028006	2.50793461113126	-0.754574373403959
ENSG00000198010	0.361360457431815	4.23852228192573	-0.827948671583798
ENSG00000198015	-1.14839703764009	0.504901938713036	-0.758693632249143
ENSG00000198018	-0.365049518977617	1.03934514858399	-0.72625446884332
ENSG00000198019	1.40127487770339	3.15241772522249	0.0636134147206949
ENSG00000198026	-0.735701126569011	0.720048357772525	0.253614228954803
ENSG00000198028	1.23985507251796	5.03835024672204	-0.833355198818102
ENSG00000198033	2.81718821289633	14.6039105742452	-0.820225061249078
ENSG00000198034	-0.653289417109596	0.880371592591745	2.19378514503643
ENSG00000198039	0.583233338955546	1.27110142473859	-0.805807655290934
ENSG00000198040	-0.899885194069113	0.623547860093596	1.86913605730037
ENSG00000198042	-0.461997397304525	0.658247469117773	0.91604254199594
ENSG00000198046	0.795587722367793	1.45802997414724	-0.82485922744991
ENSG00000198049	1.21148178910152	5.52499921097514	-0.833612652495926
ENSG00000198053	0.350948234810818	1.39922313461716	1.34701999867331
ENSG00000198055	0.391407470703647	1.49089804023481	0.901882589715621
ENSG00000198056	-0.310558626708748	1.85111471221359	-0.287810855509057
ENSG00000198060	-1.12657328408106	0.552229982858358	0.27601269892549
ENSG00000198062	1.41527611228196	13.1971918364883	-0.82485922744991
ENSG00000198064	0.680135173078574	2.23007206079289	0.367666208230832
ENSG00000198074	1.24236475086696	5.99678470602966	-0.55993939296902
ENSG00000198075	0.746552289240511	2.56154579359696	-0.777745204408119
ENSG00000198077	2.26244443876226	14.5204231693959	-0.593408371086139
ENSG00000198081	-0.646086454699383	0.508577610964241	-0.651850355952186
ENSG00000198087	-0.313336129616264	0.847386263223562	0.256446219410867
ENSG00000198088	-0.083418910477567	1.80674725715603	-0.709005072429112
ENSG00000198089	-0.364827048897349	0.825635536357266	0.273953069502898
ENSG00000198090	2.42336371667175	57.4039010286572	-0.829750847328566
ENSG00000198092	0.856991370023199	6.25425137176917	-0.829493393650742
ENSG00000198093	-0.421783153672439	0.851680732339108	-0.716213775408184
ENSG00000198099	2.8682219089487	8.78195312522168	-0.287553401831234
ENSG00000198105	-0.347373528110749	0.862914464253723	-0.814818534014774
ENSG00000198108	0.420551915656973	2.01854484667372	-0.822799598027318
ENSG00000198113	0.178289757435073	1.41819105185684	0.0316891586705196
ENSG00000198121	0.159423067212987	2.32297344249633	2.35701077677684
ENSG00000198125	1.4463336880547	13.1393818990854	-0.729858820332856
ENSG00000198130	-0.212884866236652	0.919072772892155	0.114331789252022
ENSG00000198131	-1.07180136126384	0.607719006302836	-0.449234311504702
ENSG00000198133	0.724577904044396	1.45923757403539	-0.377919642747456
ENSG00000198142	-0.106645701215482	1.58545306647961	-0.175303598299972
ENSG00000198146	0.0699558681969506	0.869129737876495	0.391866853946288
ENSG00000198156	1.2276632704428	3.78603513455639	-0.827948671583798
ENSG00000198157	0.565687581893654	2.13109413272747	0.145741137946549
ENSG00000198160	-0.539174433578383	0.641004555784356	1.8866429073924
ENSG00000198162	-0.375069333513592	0.753930892692631	1.35319888694108
ENSG00000198168	-0.340656544169137	1.02201395411074	-0.690725861303609
ENSG00000198169	-0.946536842680059	0.655301824193892	-0.689953500270137
ENSG00000198171	-0.0541424195971107	0.710098751371594	1.84982703146357
ENSG00000198176	-0.46281040180572	1.02756243812043	1.91676498769781
ENSG00000198178	0.873135180792382	12.4321045716167	-0.818680339182134
ENSG00000198182	-0.328678426855357	0.903008375298706	-0.828206125261622
ENSG00000198183	1.92263979786498	21.33501005286	-0.81971015389343
ENSG00000198185	-0.461908369556174	1.51340375427691	-0.824086866416438
ENSG00000198189	0.468442828918679	1.20491452209826	1.61966344348892
ENSG00000198198	-0.496228836553699	0.750009382046058	-0.759465993282615
